Gmt time,Open,High,Low,Close,Volume
01.01.2018 00:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 01:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 02:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 03:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 04:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 05:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 06:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 07:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 08:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 09:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 10:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 11:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 12:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 13:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 14:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 15:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 16:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 17:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 18:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 19:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 20:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 21:00:00.000,1.70217,1.70217,1.70217,1.70217,0
01.01.2018 22:00:00.000,1.69646,1.69884,1.69645,1.69833,240.97
01.01.2018 23:00:00.000,1.69819,1.69861,1.69648,1.69665,2614.4399
02.01.2018 00:00:00.000,1.69665,1.69678,1.69523,1.69540,1353.66
02.01.2018 01:00:00.000,1.69541,1.69636,1.69483,1.69508,2053.01
02.01.2018 02:00:00.000,1.69508,1.69578,1.69480,1.69541,1040.39
02.01.2018 03:00:00.000,1.69541,1.69579,1.69450,1.69459,1318.62
02.01.2018 04:00:00.000,1.69458,1.69493,1.69406,1.69415,1220.62
02.01.2018 05:00:00.000,1.69415,1.69487,1.69363,1.69482,1163.02
02.01.2018 06:00:00.000,1.69481,1.69520,1.69392,1.69407,2383.5601
02.01.2018 07:00:00.000,1.69403,1.69589,1.69395,1.69544,5612.1299
02.01.2018 08:00:00.000,1.69544,1.69842,1.69530,1.69786,7166.3101
02.01.2018 09:00:00.000,1.69786,1.69934,1.69623,1.69785,6588.5601
02.01.2018 10:00:00.000,1.69783,1.70005,1.69642,1.69986,6988.4502
02.01.2018 11:00:00.000,1.69987,1.70070,1.69807,1.70070,6558.8101
02.01.2018 12:00:00.000,1.70068,1.70121,1.69891,1.70085,6616.23
02.01.2018 13:00:00.000,1.70085,1.70148,1.69912,1.69940,7111.46
02.01.2018 14:00:00.000,1.69939,1.70009,1.69729,1.69908,8917.6396
02.01.2018 15:00:00.000,1.69907,1.70073,1.69730,1.69788,11182.6699
02.01.2018 16:00:00.000,1.69784,1.70099,1.69748,1.70056,9875.3799
02.01.2018 17:00:00.000,1.70057,1.70072,1.69882,1.69921,6134.6499
02.01.2018 18:00:00.000,1.69921,1.69997,1.69891,1.69978,4343.8301
02.01.2018 19:00:00.000,1.69981,1.70079,1.69981,1.70078,4011.46
02.01.2018 20:00:00.000,1.70078,1.70141,1.70050,1.70054,4318.7998
02.01.2018 21:00:00.000,1.70053,1.70138,1.70019,1.70057,3435.8701
02.01.2018 22:00:00.000,1.70072,1.70180,1.70019,1.70109,1218.48
02.01.2018 23:00:00.000,1.70111,1.70128,1.70007,1.70041,2036.3101
03.01.2018 00:00:00.000,1.70041,1.70152,1.69980,1.70135,1986.25
03.01.2018 01:00:00.000,1.70135,1.70235,1.70067,1.70200,1859.9
03.01.2018 02:00:00.000,1.70200,1.70325,1.70143,1.70269,2195.53
03.01.2018 03:00:00.000,1.70270,1.70319,1.70230,1.70239,1231.5699
03.01.2018 04:00:00.000,1.70237,1.70286,1.70206,1.70221,1731.72
03.01.2018 05:00:00.000,1.70221,1.70263,1.70192,1.70234,1329.34
03.01.2018 06:00:00.000,1.70235,1.70341,1.70175,1.70245,4174.4902
03.01.2018 07:00:00.000,1.70245,1.70289,1.70167,1.70182,5673.8701
03.01.2018 08:00:00.000,1.70185,1.70324,1.70113,1.70153,6347.2402
03.01.2018 09:00:00.000,1.70153,1.70176,1.70021,1.70139,5631.02
03.01.2018 10:00:00.000,1.70138,1.70205,1.69932,1.70029,6530.48
03.01.2018 11:00:00.000,1.70027,1.70034,1.69789,1.69842,6693.23
03.01.2018 12:00:00.000,1.69841,1.69951,1.69776,1.69829,6093.79
03.01.2018 13:00:00.000,1.69831,1.69881,1.69490,1.69865,8490.6396
03.01.2018 14:00:00.000,1.69868,1.69935,1.69537,1.69602,9478.4102
03.01.2018 15:00:00.000,1.69597,1.69601,1.69152,1.69441,10063.6504
03.01.2018 16:00:00.000,1.69443,1.69573,1.69380,1.69481,7074.46
03.01.2018 17:00:00.000,1.69480,1.69619,1.69435,1.69595,4282.2598
03.01.2018 18:00:00.000,1.69591,1.69630,1.69405,1.69564,3787.95
03.01.2018 19:00:00.000,1.69564,1.69602,1.69448,1.69477,7245.3198
03.01.2018 20:00:00.000,1.69472,1.69528,1.69327,1.69427,5292.6899
03.01.2018 21:00:00.000,1.69426,1.69589,1.69393,1.69464,3563.78
03.01.2018 22:00:00.000,1.69487,1.69562,1.69428,1.69487,1119.66
03.01.2018 23:00:00.000,1.69487,1.69558,1.69434,1.69534,1251.78
04.01.2018 00:00:00.000,1.69535,1.69565,1.69461,1.69546,1609.3
04.01.2018 01:00:00.000,1.69546,1.69651,1.69544,1.69569,2432.53
04.01.2018 02:00:00.000,1.69568,1.69607,1.69525,1.69552,2284.5801
04.01.2018 03:00:00.000,1.69552,1.69574,1.69497,1.69517,1876.29
04.01.2018 04:00:00.000,1.69517,1.69544,1.69443,1.69458,1933.63
04.01.2018 05:00:00.000,1.69458,1.69471,1.69374,1.69374,2145.24
04.01.2018 06:00:00.000,1.69374,1.69431,1.69323,1.69369,3656.75
04.01.2018 07:00:00.000,1.69372,1.69429,1.69278,1.69287,6220.5698
04.01.2018 08:00:00.000,1.69287,1.69561,1.69236,1.69561,7082.1602
04.01.2018 09:00:00.000,1.69560,1.69712,1.69487,1.69664,6958.4702
04.01.2018 10:00:00.000,1.69664,1.69725,1.69562,1.69625,5631.6001
04.01.2018 11:00:00.000,1.69627,1.69692,1.69579,1.69680,6258.4702
04.01.2018 12:00:00.000,1.69678,1.69794,1.69605,1.69693,6147.23
04.01.2018 13:00:00.000,1.69693,1.69813,1.69563,1.69600,9676.2998
04.01.2018 14:00:00.000,1.69600,1.69739,1.69462,1.69564,9158.9902
04.01.2018 15:00:00.000,1.69571,1.69783,1.69489,1.69783,10422.8896
04.01.2018 16:00:00.000,1.69791,1.69834,1.69509,1.69535,8969.1904
04.01.2018 17:00:00.000,1.69534,1.69580,1.69414,1.69447,5980.25
04.01.2018 18:00:00.000,1.69447,1.69528,1.69330,1.69375,5161.3501
04.01.2018 19:00:00.000,1.69375,1.69479,1.69241,1.69392,4694.9199
04.01.2018 20:00:00.000,1.69392,1.69418,1.69291,1.69393,4699.5801
04.01.2018 21:00:00.000,1.69394,1.69399,1.69201,1.69239,3070.1101
04.01.2018 22:00:00.000,1.69240,1.69327,1.69223,1.69267,2771.97
04.01.2018 23:00:00.000,1.69265,1.69319,1.69213,1.69293,1091.45
05.01.2018 00:00:00.000,1.69294,1.69429,1.69244,1.69408,2538.26
05.01.2018 01:00:00.000,1.69408,1.69408,1.69316,1.69385,2453.6001
05.01.2018 02:00:00.000,1.69388,1.69453,1.69372,1.69412,1596.76
05.01.2018 03:00:00.000,1.69412,1.69452,1.69354,1.69427,2401.52
05.01.2018 04:00:00.000,1.69427,1.69430,1.69353,1.69383,1565.26
05.01.2018 05:00:00.000,1.69380,1.69560,1.69380,1.69545,2527.8
05.01.2018 06:00:00.000,1.69544,1.69650,1.69538,1.69560,4382.96
05.01.2018 07:00:00.000,1.69560,1.69593,1.69427,1.69477,6059.4902
05.01.2018 08:00:00.000,1.69474,1.69514,1.69316,1.69356,6263.3999
05.01.2018 09:00:00.000,1.69357,1.69377,1.69159,1.69250,6141.21
05.01.2018 10:00:00.000,1.69250,1.69383,1.69132,1.69372,5597.0498
05.01.2018 11:00:00.000,1.69374,1.69476,1.69360,1.69417,4811.5801
