Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-03-10 11-PM,BTCUSD,7942.51,7942.51,7942.51,7942.51,0.0,0.0
2020-03-10 10-PM,BTCUSD,8014,8024.37,7942.51,7942.51,0.006432,51.41
2020-03-10 09-PM,BTCUSD,8014,8014,8014,8014,0.0,0.0
2020-03-10 08-PM,BTCUSD,8013.79,8014,8013.05,8014,0.5555,4451.6
2020-03-10 07-PM,BTCUSD,7806.75,8013.79,7806.75,8013.79,0.01117,89.02
2020-03-10 06-PM,BTCUSD,7806.75,7806.75,7806.75,7806.75,0.0,0.0
2020-03-10 05-PM,BTCUSD,7806.75,7806.75,7806.75,7806.75,0.0,0.0
2020-03-10 04-PM,BTCUSD,7806.75,7806.75,7806.75,7806.75,0.0,0.0
2020-03-10 03-PM,BTCUSD,8087.87,8087.87,7806.75,7806.75,0.1509,1178.08
2020-03-10 02-PM,BTCUSD,8062.08,8087.87,8062.08,8087.87,0.001998,16.16
2020-03-10 01-PM,BTCUSD,8099.12,8132.86,8062.08,8062.08,0.03498,282.46
2020-03-10 12-PM,BTCUSD,8069.83,8233.79,8069.83,8099.12,0.5574,4517.71
2020-03-10 11-AM,BTCUSD,7979,8171.95,7979,8069.83,0.03768,305.65
2020-03-10 10-AM,BTCUSD,7863.04,7979,7863.04,7979,0.02,159.58
2020-03-10 09-AM,BTCUSD,7885.21,7885.21,7863.04,7863.04,0.1952,1535.09
2020-03-10 08-AM,BTCUSD,7885.21,7885.21,7885.21,7885.21,0.0,0.0
2020-03-10 07-AM,BTCUSD,7932.67,7932.67,7885.21,7885.21,0.0046,36.27
2020-03-10 06-AM,BTCUSD,7932.67,7932.67,7932.67,7932.67,0.0,0.0
2020-03-10 05-AM,BTCUSD,7950,7950,7932.67,7932.67,0.027,214.18
2020-03-10 04-AM,BTCUSD,7950,7950,7950,7950,0.0,0.0
2020-03-10 03-AM,BTCUSD,7950,7950,7950,7950,0.0,0.0
2020-03-10 02-AM,BTCUSD,7950,7950,7950,7950,0.0,0.0
2020-03-10 01-AM,BTCUSD,7893.54,7950,7893.54,7950,0.02168,172.38
2020-03-10 12-AM,BTCUSD,7893.54,7893.54,7893.54,7893.54,0.0,0.0
2020-03-09 11-PM,BTCUSD,7876,7893.54,7876,7893.54,0.011,86.83
2020-03-09 10-PM,BTCUSD,7979.99,7979.99,7876,7876,0.01003,78.96
2020-03-09 09-PM,BTCUSD,7979.99,7979.99,7979.99,7979.99,0.0,0.0
2020-03-09 08-PM,BTCUSD,7903.4,7979.99,7890,7979.99,0.02,158.7
2020-03-09 07-PM,BTCUSD,7903.4,7903.4,7903.4,7903.4,0.0,0.0
2020-03-09 06-PM,BTCUSD,7903.4,7903.4,7903.4,7903.4,0.0,0.0
2020-03-09 05-PM,BTCUSD,7815.45,7903.4,7795.76,7903.4,0.1049,820.26
2020-03-09 04-PM,BTCUSD,7692.84,7878.91,7692.84,7815.45,0.01272,99.7
2020-03-09 03-PM,BTCUSD,7746.46,7889.72,7692.84,7692.84,0.1262,978.8
2020-03-09 02-PM,BTCUSD,7768.15,7832.48,7746.46,7746.46,0.1508,1175.81
2020-03-09 01-PM,BTCUSD,7853,7853,7750,7768.15,0.01358,105.33
