Gmt time,Open,High,Low,Close,Volume
01.01.2018 00:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 01:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 02:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 03:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 04:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 05:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 06:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 07:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 08:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 09:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 10:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 11:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 12:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 13:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 14:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 15:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 16:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 17:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 18:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 19:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 20:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 21:00:00.000,29.833,29.833,29.833,29.833,0
01.01.2018 22:00:00.000,29.808,29.810,29.705,29.763,1992.5
01.01.2018 23:00:00.000,29.763,29.789,29.754,29.784,3001.5
02.01.2018 00:00:00.000,29.784,29.800,29.768,29.768,2018.25
02.01.2018 01:00:00.000,29.768,29.773,29.743,29.769,1539.25
02.01.2018 02:00:00.000,29.767,29.776,29.758,29.762,1208.5
02.01.2018 03:00:00.000,29.763,29.785,29.751,29.785,1145
02.01.2018 04:00:00.000,29.783,29.797,29.781,29.785,1999.25
02.01.2018 05:00:00.000,29.783,29.825,29.780,29.817,3467.75
02.01.2018 06:00:00.000,29.824,29.824,29.771,29.773,1710.75
02.01.2018 07:00:00.000,29.775,29.884,29.760,29.860,4034
02.01.2018 08:00:00.000,29.859,29.868,29.794,29.800,3219.5
02.01.2018 09:00:00.000,29.801,29.858,29.797,29.808,3919.25
02.01.2018 10:00:00.000,29.809,29.814,29.747,29.768,3404
02.01.2018 11:00:00.000,29.767,29.851,29.759,29.845,2134.5
02.01.2018 12:00:00.000,29.842,29.868,29.826,29.829,2909.75
02.01.2018 13:00:00.000,29.829,29.859,29.818,29.827,4288.5
02.01.2018 14:00:00.000,29.827,29.838,29.759,29.799,3772.5
02.01.2018 15:00:00.000,29.799,29.819,29.746,29.785,4478.5
02.01.2018 16:00:00.000,29.788,29.805,29.741,29.767,4612.5
02.01.2018 17:00:00.000,29.769,29.796,29.765,29.783,1492.25
02.01.2018 18:00:00.000,29.784,29.800,29.753,29.797,2305.75
02.01.2018 19:00:00.000,29.797,29.811,29.790,29.795,1468.5
02.01.2018 20:00:00.000,29.795,29.833,29.791,29.831,1368
02.01.2018 21:00:00.000,29.830,29.832,29.795,29.821,772.5
02.01.2018 22:00:00.000,29.831,29.863,29.824,29.833,1975.25
02.01.2018 23:00:00.000,29.826,29.836,29.802,29.814,1572.5
03.01.2018 00:00:00.000,29.814,29.844,29.802,29.836,3716.25
03.01.2018 01:00:00.000,29.836,29.839,29.803,29.805,1486
03.01.2018 02:00:00.000,29.806,29.832,29.789,29.803,4584.5
03.01.2018 03:00:00.000,29.803,29.805,29.793,29.793,1523.25
03.01.2018 04:00:00.000,29.795,29.799,29.774,29.787,1497.75
03.01.2018 05:00:00.000,29.787,29.819,29.767,29.771,2713.75
03.01.2018 06:00:00.000,29.770,29.772,29.705,29.749,2756.75
03.01.2018 07:00:00.000,29.748,29.812,29.711,29.797,5087.25
03.01.2018 08:00:00.000,29.797,29.869,29.778,29.844,4983.5
03.01.2018 09:00:00.000,29.845,29.866,29.832,29.840,2927.75
03.01.2018 10:00:00.000,29.839,29.854,29.807,29.844,3558.5
03.01.2018 11:00:00.000,29.843,29.875,29.833,29.845,3585
03.01.2018 12:00:00.000,29.844,29.858,29.829,29.830,3707
03.01.2018 13:00:00.000,29.830,29.833,29.785,29.811,4556.25
03.01.2018 14:00:00.000,29.811,29.815,29.768,29.796,5340.75
03.01.2018 15:00:00.000,29.811,29.850,29.764,29.834,7068.25
03.01.2018 16:00:00.000,29.835,29.869,29.811,29.816,3822.75
03.01.2018 17:00:00.000,29.816,29.852,29.815,29.838,1426.25
03.01.2018 18:00:00.000,29.840,29.874,29.817,29.874,1594
03.01.2018 19:00:00.000,29.874,29.874,29.717,29.723,4107
03.01.2018 20:00:00.000,29.723,29.737,29.694,29.702,1877
03.01.2018 21:00:00.000,29.702,29.776,29.692,29.776,992
03.01.2018 22:00:00.000,29.778,29.778,29.728,29.735,1385.25
03.01.2018 23:00:00.000,29.738,29.758,29.731,29.750,1144
04.01.2018 00:00:00.000,29.750,29.808,29.748,29.805,1221
04.01.2018 01:00:00.000,29.806,29.809,29.767,29.778,3359.5
04.01.2018 02:00:00.000,29.777,29.779,29.752,29.754,3086.25
04.01.2018 03:00:00.000,29.754,29.790,29.750,29.750,1534.5
04.01.2018 04:00:00.000,29.749,29.763,29.716,29.760,2625.75
04.01.2018 05:00:00.000,29.760,29.768,29.728,29.739,2796.5
04.01.2018 06:00:00.000,29.742,29.829,29.734,29.795,3164.25
04.01.2018 07:00:00.000,29.793,29.851,29.784,29.836,4026.25
04.01.2018 08:00:00.000,29.837,29.919,29.833,29.886,4743
04.01.2018 09:00:00.000,29.885,29.916,29.863,29.893,3619.25
04.01.2018 10:00:00.000,29.894,29.926,29.891,29.918,4197
04.01.2018 11:00:00.000,29.919,29.951,29.904,29.940,4172
04.01.2018 12:00:00.000,29.941,29.951,29.899,29.904,3434
04.01.2018 13:00:00.000,29.907,29.966,29.883,29.889,6697
04.01.2018 14:00:00.000,29.889,30.003,29.888,29.984,5905.5
04.01.2018 15:00:00.000,29.985,30.113,29.979,30.071,5433.5
04.01.2018 16:00:00.000,30.073,30.089,30.018,30.037,5039.75
04.01.2018 17:00:00.000,30.039,30.099,30.039,30.084,2390
04.01.2018 18:00:00.000,30.084,30.103,30.080,30.084,2339.25
04.01.2018 19:00:00.000,30.084,30.090,30.056,30.067,1618.75
04.01.2018 20:00:00.000,30.067,30.075,30.039,30.050,1404.75
04.01.2018 21:00:00.000,30.049,30.074,30.044,30.070,1107
04.01.2018 22:00:00.000,30.099,30.099,30.069,30.082,1612.75
04.01.2018 23:00:00.000,30.084,30.091,30.049,30.061,1612.25
05.01.2018 00:00:00.000,30.067,30.067,30.038,30.055,1231.5
05.01.2018 01:00:00.000,30.055,30.057,30.043,30.051,838
05.01.2018 02:00:00.000,30.056,30.077,30.035,30.075,1172
05.01.2018 03:00:00.000,30.076,30.086,30.062,30.075,670.5
05.01.2018 04:00:00.000,30.074,30.090,30.074,30.087,727.5
05.01.2018 05:00:00.000,30.087,30.121,30.087,30.119,1480
05.01.2018 06:00:00.000,30.119,30.119,30.073,30.076,3035
05.01.2018 07:00:00.000,30.076,30.117,30.063,30.095,3295
05.01.2018 08:00:00.000,30.095,30.172,30.090,30.172,5381.5
05.01.2018 09:00:00.000,30.172,30.269,30.165,30.200,4414.25
05.01.2018 10:00:00.000,30.199,30.256,30.193,30.220,4038.25
05.01.2018 11:00:00.000,30.221,30.233,30.177,30.204,3222.75
05.01.2018 12:00:00.000,30.203,30.206,30.151,30.202,2546.5
05.01.2018 13:00:00.000,30.204,30.292,30.200,30.233,7759.25
05.01.2018 14:00:00.000,30.232,30.263,30.184,30.261,6265.75
05.01.2018 15:00:00.000,30.251,30.291,30.215,30.291,6339.75
05.01.2018 16:00:00.000,30.291,30.297,30.248,30.281,4609.5
05.01.2018 17:00:00.000,30.279,30.308,30.254,30.283,2857
05.01.2018 18:00:00.000,30.282,30.291,30.268,30.286,764.5
05.01.2018 19:00:00.000,30.286,30.304,30.271,30.283,1322.5
05.01.2018 20:00:00.000,30.283,30.292,30.276,30.281,1010.25
05.01.2018 21:00:00.000,30.280,30.290,30.271,30.278,1192.5
05.01.2018 22:00:00.000,30.278,30.278,30.278,30.278,0
05.01.2018 23:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 00:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 01:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 02:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 03:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 04:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 05:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 06:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 07:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 08:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 09:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 10:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 11:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 12:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 13:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 14:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 15:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 16:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 17:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 18:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 19:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 20:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 21:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 22:00:00.000,30.278,30.278,30.278,30.278,0
06.01.2018 23:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 00:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 01:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 02:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 03:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 04:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 05:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 06:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 07:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 08:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 09:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 10:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 11:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 12:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 13:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 14:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 15:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 16:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 17:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 18:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 19:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 20:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 21:00:00.000,30.278,30.278,30.278,30.278,0
07.01.2018 22:00:00.000,30.319,30.320,30.288,30.306,2827.25
07.01.2018 23:00:00.000,30.295,30.322,30.271,30.311,1228.75
08.01.2018 00:00:00.000,30.305,30.305,30.285,30.286,1327
08.01.2018 01:00:00.000,30.286,30.311,30.285,30.307,1487
08.01.2018 02:00:00.000,30.306,30.310,30.289,30.293,1059.75
08.01.2018 03:00:00.000,30.292,30.304,30.290,30.296,702.75
08.01.2018 04:00:00.000,30.295,30.303,30.270,30.294,1648
08.01.2018 05:00:00.000,30.296,30.301,30.251,30.261,3522
08.01.2018 06:00:00.000,30.259,30.286,30.257,30.259,1978.75
08.01.2018 07:00:00.000,30.259,30.278,30.221,30.238,5243.75
08.01.2018 08:00:00.000,30.237,30.242,30.149,30.159,6655
08.01.2018 09:00:00.000,30.157,30.178,30.134,30.168,4085.75
08.01.2018 10:00:00.000,30.168,30.195,30.165,30.173,4171.25
08.01.2018 11:00:00.000,30.177,30.189,30.130,30.132,3235.25
08.01.2018 12:00:00.000,30.131,30.180,30.123,30.154,4349.25
08.01.2018 13:00:00.000,30.154,30.162,30.093,30.100,6139.5
08.01.2018 14:00:00.000,30.099,30.132,30.082,30.122,5901.5
08.01.2018 15:00:00.000,30.121,30.149,30.102,30.137,5932.5
08.01.2018 16:00:00.000,30.137,30.189,30.128,30.169,5052.25
08.01.2018 17:00:00.000,30.170,30.188,30.163,30.186,2186
08.01.2018 18:00:00.000,30.187,30.195,30.156,30.169,2060.5
08.01.2018 19:00:00.000,30.168,30.197,30.154,30.195,2074.5
08.01.2018 20:00:00.000,30.196,30.212,30.181,30.196,1334.75
08.01.2018 21:00:00.000,30.197,30.219,30.193,30.216,1406.5
08.01.2018 22:00:00.000,30.214,30.228,30.212,30.227,3483
08.01.2018 23:00:00.000,30.229,30.234,30.213,30.224,2632.5
09.01.2018 00:00:00.000,30.225,30.234,30.211,30.218,2037.5
09.01.2018 01:00:00.000,30.218,30.229,30.071,30.099,2772
09.01.2018 02:00:00.000,30.098,30.100,30.063,30.080,2771.5
09.01.2018 03:00:00.000,30.080,30.114,30.077,30.102,1495.25
09.01.2018 04:00:00.000,30.102,30.109,30.080,30.094,1446.75
09.01.2018 05:00:00.000,30.092,30.113,30.073,30.111,1342.5
09.01.2018 06:00:00.000,30.110,30.111,30.051,30.052,2738
09.01.2018 07:00:00.000,30.051,30.111,30.049,30.065,5799.5
09.01.2018 08:00:00.000,30.066,30.080,29.927,30.001,7762
09.01.2018 09:00:00.000,30.001,30.018,29.916,29.944,6272.75
09.01.2018 10:00:00.000,29.944,30.001,29.932,29.980,6243
09.01.2018 11:00:00.000,29.980,29.981,29.924,29.956,5538.5
09.01.2018 12:00:00.000,29.957,29.984,29.928,29.977,12704.9697
09.01.2018 13:00:00.000,29.978,29.979,29.902,29.927,6588
09.01.2018 14:00:00.000,29.927,29.966,29.833,29.836,6875.75
09.01.2018 15:00:00.000,29.837,29.874,29.791,29.835,8275
09.01.2018 16:00:00.000,29.834,29.861,29.825,29.854,6237.75
09.01.2018 17:00:00.000,29.854,29.859,29.801,29.811,2533.25
09.01.2018 18:00:00.000,29.812,29.851,29.812,29.841,1713.75
09.01.2018 19:00:00.000,29.841,29.896,29.839,29.893,2715.25
09.01.2018 20:00:00.000,29.893,29.912,29.856,29.885,2560.75
09.01.2018 21:00:00.000,29.895,29.918,29.866,29.918,2104.5
09.01.2018 22:00:00.000,29.917,29.917,29.865,29.870,723
09.01.2018 23:00:00.000,29.869,29.925,29.864,29.923,1339.25
10.01.2018 00:00:00.000,29.924,29.928,29.788,29.798,1620.25
10.01.2018 01:00:00.000,29.799,29.810,29.744,29.745,2092
10.01.2018 02:00:00.000,29.746,29.782,29.746,29.768,1548.25
10.01.2018 03:00:00.000,29.768,29.821,29.764,29.811,1212.5
10.01.2018 04:00:00.000,29.810,29.825,29.782,29.802,1825.5
10.01.2018 05:00:00.000,29.801,29.806,29.757,29.773,1563.25
10.01.2018 06:00:00.000,29.774,29.789,29.614,29.644,4272.75
10.01.2018 07:00:00.000,29.642,29.674,29.543,29.559,7646.5
10.01.2018 08:00:00.000,29.565,29.614,29.510,29.513,6191.5
10.01.2018 09:00:00.000,29.513,29.570,29.503,29.544,5630.5
10.01.2018 10:00:00.000,29.546,29.563,29.275,29.309,9118.75
10.01.2018 11:00:00.000,29.308,29.383,29.294,29.363,9930.25
10.01.2018 12:00:00.000,29.362,29.371,29.262,29.293,8335.5
10.01.2018 13:00:00.000,29.292,29.387,29.291,29.383,7738.75
10.01.2018 14:00:00.000,29.385,29.415,29.288,29.305,9736
10.01.2018 15:00:00.000,29.304,29.322,29.258,29.281,7224.5
10.01.2018 16:00:00.000,29.279,29.336,29.278,29.286,7577.5
10.01.2018 17:00:00.000,29.289,29.329,29.289,29.311,6649.5
10.01.2018 18:00:00.000,29.311,29.364,29.298,29.338,5086.25
10.01.2018 19:00:00.000,29.340,29.351,29.271,29.271,6863.75
10.01.2018 20:00:00.000,29.272,29.343,29.272,29.309,4543
10.01.2018 21:00:00.000,29.310,29.366,29.304,29.366,1538.75
10.01.2018 22:00:00.000,29.339,29.339,29.299,29.313,1373.75
10.01.2018 23:00:00.000,29.314,29.328,29.290,29.328,739.25
11.01.2018 00:00:00.000,29.328,29.360,29.295,29.320,1841.25
11.01.2018 01:00:00.000,29.320,29.371,29.318,29.363,2216.25
11.01.2018 02:00:00.000,29.362,29.384,29.335,29.337,1216.25
11.01.2018 03:00:00.000,29.336,29.425,29.331,29.413,1999.5
11.01.2018 04:00:00.000,29.413,29.459,29.411,29.440,2133.5
11.01.2018 05:00:00.000,29.439,29.505,29.408,29.499,2622.25
11.01.2018 06:00:00.000,29.499,29.510,29.410,29.451,3612.75
11.01.2018 07:00:00.000,29.450,29.500,29.441,29.459,4777.75
11.01.2018 08:00:00.000,29.460,29.484,29.415,29.436,5005.75
11.01.2018 09:00:00.000,29.436,29.444,29.310,29.323,5507.25
11.01.2018 10:00:00.000,29.324,29.360,29.291,29.344,5326
11.01.2018 11:00:00.000,29.345,29.401,29.343,29.371,3453
11.01.2018 12:00:00.000,29.371,29.427,29.355,29.385,6862.75
